,Year,Period,Avg hrs per day sleeping,Type of Days,Age Group,Activity,Sex
847,2010,Annual,7.99,Nonholiday weekdays,45 to 54 years,Sleeping,Women
848,2011,Annual,8.25,Nonholiday weekdays,45 to 54 years,Sleeping,Women
849,2012,Annual,8.12,Nonholiday weekdays,45 to 54 years,Sleeping,Women
850,2013,Annual,8.29,Nonholiday weekdays,45 to 54 years,Sleeping,Women
851,2014,Annual,8.33,Nonholiday weekdays,45 to 54 years,Sleeping,Women
852,2015,Annual,8.12,Nonholiday weekdays,45 to 54 years,Sleeping,Women
853,2016,Annual,8.47,Nonholiday weekdays,45 to 54 years,Sleeping,Women
854,2017,Annual,8.22,Nonholiday weekdays,45 to 54 years,Sleeping,Women
855,2003,Annual,8.39,All days,55 to 64 years,Sleeping,Women
856,2004,Annual,8.3,All days,55 to 64 years,Sleeping,Women
857,2005,Annual,8.35,All days,55 to 64 years,Sleeping,Women
858,2006,Annual,8.47,All days,55 to 64 years,Sleeping,Women
859,2007,Annual,8.2,All days,55 to 64 years,Sleeping,Women
860,2008,Annual,8.29,All days,55 to 64 years,Sleeping,Women
861,2009,Annual,8.49,All days,55 to 64 years,Sleeping,Women
862,2010,Annual,8.49,All days,55 to 64 years,Sleeping,Women
863,2011,Annual,8.54,All days,55 to 64 years,Sleeping,Women
864,2012,Annual,8.61,All days,55 to 64 years,Sleeping,Women
865,2013,Annual,8.46,All days,55 to 64 years,Sleeping,Women
866,2014,Annual,8.51,All days,55 to 64 years,Sleeping,Women
867,2015,Annual,8.63,All days,55 to 64 years,Sleeping,Women
868,2016,Annual,8.61,All days,55 to 64 years,Sleeping,Women
869,2017,Annual,8.51,All days,55 to 64 years,Sleeping,Women
870,2003,Annual,8.93,Weekend days and holidays,55 to 64 years,Sleeping,Women
871,2004,Annual,8.79,Weekend days and holidays,55 to 64 years,Sleeping,Women
872,2005,Annual,8.78,Weekend days and holidays,55 to 64 years,Sleeping,Women
873,2006,Annual,8.83,Weekend days and holidays,55 to 64 years,Sleeping,Women
874,2007,Annual,8.76,Weekend days and holidays,55 to 64 years,Sleeping,Women
875,2008,Annual,8.88,Weekend days and holidays,55 to 64 years,Sleeping,Women
876,2009,Annual,9.02,Weekend days and holidays,55 to 64 years,Sleeping,Women
877,2010,Annual,9.03,Weekend days and holidays,55 to 64 years,Sleeping,Women
878,2011,Annual,8.97,Weekend days and holidays,55 to 64 years,Sleeping,Women
879,2012,Annual,9.04,Weekend days and holidays,55 to 64 years,Sleeping,Women
880,2013,Annual,8.84,Weekend days and holidays,55 to 64 years,Sleeping,Women
881,2014,Annual,9.05,Weekend days and holidays,55 to 64 years,Sleeping,Women
882,2015,Annual,9.02,Weekend days and holidays,55 to 64 years,Sleeping,Women
883,2016,Annual,9.09,Weekend days and holidays,55 to 64 years,Sleeping,Women
884,2017,Annual,9.04,Weekend days and holidays,55 to 64 years,Sleeping,Women
885,2003,Annual,8.17,Nonholiday weekdays,55 to 64 years,Sleeping,Women
886,2004,Annual,8.1,Nonholiday weekdays,55 to 64 years,Sleeping,Women
887,2005,Annual,8.17,Nonholiday weekdays,55 to 64 years,Sleeping,Women
888,2006,Annual,8.32,Nonholiday weekdays,55 to 64 years,Sleeping,Women
889,2007,Annual,7.98,Nonholiday weekdays,55 to 64 years,Sleeping,Women
890,2008,Annual,8.04,Nonholiday weekdays,55 to 64 years,Sleeping,Women
891,2009,Annual,8.27,Nonholiday weekdays,55 to 64 years,Sleeping,Women
892,2010,Annual,8.27,Nonholiday weekdays,55 to 64 years,Sleeping,Women
893,2011,Annual,8.35,Nonholiday weekdays,55 to 64 years,Sleeping,Women
894,2012,Annual,8.44,Nonholiday weekdays,55 to 64 years,Sleeping,Women
895,2013,Annual,8.29,Nonholiday weekdays,55 to 64 years,Sleeping,Women
896,2014,Annual,8.29,Nonholiday weekdays,55 to 64 years,Sleeping,Women
897,2015,Annual,8.47,Nonholiday weekdays,55 to 64 years,Sleeping,Women
898,2016,Annual,8.4,Nonholiday weekdays,55 to 64 years,Sleeping,Women
899,2017,Annual,8.29,Nonholiday weekdays,55 to 64 years,Sleeping,Women
900,2003,Annual,8.84,All days,65 years and over,Sleeping,Women
901,2004,Annual,8.93,All days,65 years and over,Sleeping,Women
902,2005,Annual,8.95,All days,65 years and over,Sleeping,Women
903,2006,Annual,8.82,All days,65 years and over,Sleeping,Women
904,2007,Annual,8.91,All days,65 years and over,Sleeping,Women
905,2008,Annual,8.94,All days,65 years and over,Sleeping,Women
906,2009,Annual,8.96,All days,65 years and over,Sleeping,Women
907,2010,Annual,9.04,All days,65 years and over,Sleeping,Women
908,2011,Annual,9.09,All days,65 years and over,Sleeping,Women
909,2012,Annual,8.87,All days,65 years and over,Sleeping,Women
910,2013,Annual,8.9,All days,65 years and over,Sleeping,Women
911,2014,Annual,9.02,All days,65 years and over,Sleeping,Women
912,2015,Annual,8.97,All days,65 years and over,Sleeping,Women
913,2016,Annual,8.97,All days,65 years and over,Sleeping,Women
914,2017,Annual,8.91,All days,65 years and over,Sleeping,Women
915,2003,Annual,9.18,Weekend days and holidays,65 years and over,Sleeping,Women
916,2004,Annual,9.05,Weekend days and holidays,65 years and over,Sleeping,Women
917,2005,Annual,9.28,Weekend days and holidays,65 years and over,Sleeping,Women
918,2006,Annual,8.94,Weekend days and holidays,65 years and over,Sleeping,Women
919,2007,Annual,9.13,Weekend days and holidays,65 years and over,Sleeping,Women
920,2008,Annual,9.31,Weekend days and holidays,65 years and over,Sleeping,Women
921,2009,Annual,9.21,Weekend days and holidays,65 years and over,Sleeping,Women
922,2010,Annual,9.22,Weekend days and holidays,65 years and over,Sleeping,Women
923,2011,Annual,9.29,Weekend days and holidays,65 years and over,Sleeping,Women
924,2012,Annual,9.06,Weekend days and holidays,65 years and over,Sleeping,Women
925,2013,Annual,9.06,Weekend days and holidays,65 years and over,Sleeping,Women
926,2014,Annual,9.13,Weekend days and holidays,65 years and over,Sleeping,Women
927,2015,Annual,9.3,Weekend days and holidays,65 years and over,Sleeping,Women
928,2016,Annual,9.1,Weekend days and holidays,65 years and over,Sleeping,Women
929,2017,Annual,9.15,Weekend days and holidays,65 years and over,Sleeping,Women
930,2003,Annual,8.7,Nonholiday weekdays,65 years and over,Sleeping,Women
931,2004,Annual,8.88,Nonholiday weekdays,65 years and over,Sleeping,Women
932,2005,Annual,8.81,Nonholiday weekdays,65 years and over,Sleeping,Women
933,2006,Annual,8.77,Nonholiday weekdays,65 years and over,Sleeping,Women
934,2007,Annual,8.82,Nonholiday weekdays,65 years and over,Sleeping,Women
935,2008,Annual,8.79,Nonholiday weekdays,65 years and over,Sleeping,Women
936,2009,Annual,8.86,Nonholiday weekdays,65 years and over,Sleeping,Women
937,2010,Annual,8.96,Nonholiday weekdays,65 years and over,Sleeping,Women
938,2011,Annual,9.02,Nonholiday weekdays,65 years and over,Sleeping,Women
939,2012,Annual,8.79,Nonholiday weekdays,65 years and over,Sleeping,Women
940,2013,Annual,8.83,Nonholiday weekdays,65 years and over,Sleeping,Women
941,2014,Annual,8.98,Nonholiday weekdays,65 years and over,Sleeping,Women
942,2015,Annual,8.83,Nonholiday weekdays,65 years and over,Sleeping,Women
943,2016,Annual,8.92,Nonholiday weekdays,65 years and over,Sleeping,Women
944,2017,Annual,8.81,Nonholiday weekdays,65 years and over,Sleeping,Women
